"","Year","Mean_Citations","Research_Types","Papers_Published"
"742",2014,0,"Clinical",1
"743",2014,1,"Basic",2
"744",2014,1,"Clinical",1
"745",2014,2,"Basic",1
"746",2014,3,"Clinical",1
"747",2014,5,"Basic",2
"748",2014,5,"Clinical",1
"749",2014,8,"Clinical",1
"750",2014,10,"Basic",1
"751",2014,11,"Clinical",1
"752",2014,12,"Basic",1
"753",2014,13,"Basic",1
"754",2014,18,"Clinical",1
"755",2014,19,"Clinical",1
"756",2014,22,"Basic",1
"757",2014,24,"Clinical",1
"758",2014,31,"Clinical",1
"759",2014,33,"Clinical",1
"760",2014,39,"Clinical",1
"761",2014,46,"Clinical",2
"762",2014,64,"Basic",1
"763",2014,66,"Clinical",1
"764",2014,207,"Clinical",1
"765",2014,331,"Clinical",1
"766",2015,0,"Clinical",1
"767",2015,4,"Clinical",1
"768",2015,5,"Clinical",2
"769",2015,7,"Basic",1
"770",2015,7,"Clinical",3
"771",2015,9,"Clinical",1
"772",2015,10,"Basic",1
"773",2015,11,"Clinical",2
"774",2015,13,"Basic",1
"775",2015,14,"Basic",1
"776",2015,15,"Basic",1
"777",2015,16,"Clinical",1
"778",2015,19,"Clinical",1
"779",2015,20,"Basic",1
"780",2015,25,"Basic",2
"781",2015,26,"Clinical",1
"782",2015,28,"Clinical",1
"783",2015,30,"Clinical",1
"784",2015,31,"Clinical",1
"785",2015,33,"Basic",1
"786",2015,39,"Basic",1
"787",2015,39,"Clinical",1
"788",2015,42,"Basic",1
"789",2015,42,"Clinical",1
"790",2015,46,"Clinical",1
"791",2015,47,"Basic",1
"792",2015,48,"Basic",1
"793",2015,49,"Basic",1
"794",2015,52,"Clinical",1
"795",2015,58,"Basic",1
"796",2015,59,"Clinical",1
"797",2015,73,"Clinical",1
"798",2015,108,"Basic",1
"799",2015,122,"Clinical",1
"800",2015,209,"Basic",1
"801",2015,241,"Clinical",1
"802",2016,0,"Clinical",1
"803",2016,2,"Basic",2
"804",2016,2,"Clinical",2
"805",2016,4,"Basic",1
"806",2016,4,"Clinical",2
"807",2016,6,"Clinical",1
"808",2016,7,"Basic",3
"809",2016,8,"Basic",1
"810",2016,9,"Basic",1
"811",2016,10,"Basic",1
"812",2016,11,"Basic",1
"813",2016,12,"Basic",1
"814",2016,14,"Basic",1
"815",2016,14,"Clinical",1
"816",2016,16,"Basic",1
"817",2016,19,"Basic",1
"818",2016,21,"Clinical",1
"819",2016,22,"Basic",1
"820",2016,23,"Clinical",1
"821",2016,24,"Clinical",1
"822",2016,26,"Basic",1
"823",2016,29,"Clinical",1
"824",2016,33,"Clinical",1
"825",2016,39,"Basic",1
"826",2016,42,"Clinical",1
"827",2016,49,"Clinical",1
"828",2016,51,"Clinical",1
"829",2016,52,"Clinical",1
"830",2016,54,"Basic",1
"831",2016,82,"Basic",1
"832",2016,207,"Basic",1
"833",2017,0,"Basic",1
"834",2017,0,"Clinical",3
"835",2017,1,"Basic",1
"836",2017,1,"Clinical",4
"837",2017,2,"Basic",4
"838",2017,2,"Clinical",1
"839",2017,3,"Basic",4
"840",2017,3,"Clinical",2
"841",2017,4,"Basic",3
"842",2017,4,"Clinical",4
"843",2017,5,"Basic",1
"844",2017,5,"Clinical",3
"845",2017,6,"Basic",3
"846",2017,6,"Clinical",4
"847",2017,7,"Basic",2
"848",2017,7,"Clinical",2
"849",2017,8,"Basic",1
"850",2017,8,"Clinical",2
"851",2017,9,"Basic",1
"852",2017,9,"Clinical",2
"853",2017,10,"Basic",3
"854",2017,10,"Clinical",1
"855",2017,11,"Basic",1
"856",2017,11,"Clinical",3
"857",2017,12,"Basic",2
"858",2017,12,"Clinical",1
"859",2017,14,"Basic",1
"860",2017,14,"Clinical",2
"861",2017,15,"Basic",1
